Uid	Term	Term_Score
315	turn	8.188537
315	blue	11.58741
316	all	100
316	light	12.06157
317	all	100
317	light	12.06157
318	all	100
318	working	6.932328
318	easy	5.23359
319	all	100
319	working	6.932328
319	easy	5.23359
320	all	100
321	all	100
321	reviews	10.98929
321	product	5.945817
321	star	8.838831
321	fake	19.49754
322	all	100
322	reviews	10.98929
322	fake	19.49754
323	all	100
323	reviews	10.98929
323	product	5.945817
323	fake	19.49754
324	all	100
324	although	9.101137
324	really	6.669503
324	fall	9.893981
325	all	100
325	sticky	11.8402
325	traps	20.70162
325	glue	12.10453
325	rid	12.08042
326	all	100
326	control	10.62442
326	pest	25.31273
327	all	100
327	control	10.62442
327	pest	25.31273
328	all	100
328	daughter	9.286569
329	all	100
329	daughter	9.286569
330	all	100
330	bathroom	12.73011
331	all	100
331	bathroom	12.73011
332	all	100
332	working	6.932328
332	easy	5.23359
333	all	100
333	easy	5.23359
334	all	100
334	cockroaches	20.42216
334	problem	9.770311
334	ongoing	16.52359
334	still	7.741528
334	one	4.207313
335	all	100
335	every room	59.70659
335	problem	9.770311
335	one	4.207313
336	all	100
337	all	100
338	all	100
338	running	11.89235
339	all	100
339	running around	40.66089
339	product	4.797047
339	still	6.245816
340	all	100
340	daughter	9.286569
341	all	100
342	all	100
