Uid	Term	Term_Score
439	all	100
439	story	59.94361
440	all	100
440	ending	71.2765
441	all	100
441	story	59.94361
442	all	100
442	story	59.94361
443	all	100
443	quests	55.17515
443	story	59.94361
444	all	100
444	story	59.94361
445	all	100
445	missions	62.63234
445	ending	71.2765
445	story	59.94361
446	all	100
446	story	59.94361
447	all	100
447	story	59.94361
448	all	100
448	ending	71.2765
449	all	100
449	villains	54.16332
449	story	59.94361
450	all	100
450	ending	71.2765
450	story	59.94361
451	all	100
451	characters	59.46443
452	all	100
452	story	59.94361
453	all	100
453	story	59.94361
454	all	100
454	story	59.94361
455	all	100
455	story	59.94361
456	all	100
456	story	59.94361
457	all	100
457	story	59.94361
458	all	100
458	story	59.94361
459	all	100
460	all	100
461	all	100
461	story	59.94361
462	all	100
462	story	59.94361
463	all	100
463	characters	59.46443
464	all	100
464	story	59.94361
465	all	100
465	story	59.94361
466	all	100
466	ending	71.2765
467	all	100
467	story	59.94361
468	all	100
468	ending	71.2765
469	all	100
469	story	59.94361
470	all	100
470	story	59.94361
471	all	100
471	ending	71.2765
472	all	100
472	ending	71.2765
472	story	59.94361
473	all	100
473	story	59.94361
474	all	100
474	story	59.94361
475	all	100
475	story	59.94361
476	all	100
476	spoilers	59.01519
476	ending	71.2765
476	story	59.94361
477	all	100
478	all	100
478	story	59.94361
479	all	100
479	story	59.94361
479	cry	55.77016
480	all	100
480	story	59.94361
481	all	100
481	story	59.94361
482	all	100
482	story	59.94361
483	all	100
483	story	59.94361
484	all	100
484	ending	71.2765
485	all	100
485	story	59.94361
486	all	100
486	story	59.94361
487	all	100
487	ending	71.2765
488	all	100
488	story	59.94361
489	all	100
489	story	59.94361
490	all	100
491	all	100
491	story	59.94361
492	all	100
492	story	59.94361
493	all	100
494	all	100
494	ending	71.2765
494	story	59.94361
495	all	100
495	story	59.94361
496	all	100
497	all	100
497	farcry	56.10805
498	all	100
498	missions	62.63234
498	story	59.94361
499	all	100
500	all	100
500	missions	62.63234
500	story	59.94361
501	all	100
501	ending	71.2765
502	all	100
502	missions	62.63234
502	plot	71.51877
503	all	100
503	villains	54.16332
503	story	59.94361
503	cry	55.77016
504	all	100
504	story	59.94361
505	all	100
505	characters	59.46443
506	all	100
506	story	59.94361
507	all	100
507	cry	55.77016
508	all	100
508	story	59.94361
509	all	100
510	all	100
510	villains	54.16332
511	all	100
512	all	100
512	story	59.94361
513	all	100
513	story	59.94361
514	all	100
515	all	100
515	story	59.94361
516	all	100
516	story	59.94361
517	all	100
518	all	100
518	story	59.94361
519	all	100
519	story	59.94361
520	all	100
520	characters	59.46443
520	plot	71.51877
521	all	100
522	all	100
522	ending	71.2765
523	all	100
523	story	59.94361
524	all	100
524	ending	71.2765
524	cry	55.77016
525	all	100
526	all	100
526	story	59.94361
527	all	100
527	ending	71.2765
528	all	100
528	story	59.94361
529	all	100
529	story	59.94361
530	all	100
531	all	100
531	ending	71.2765
532	all	100
532	story	59.94361
533	all	100
533	ending	71.2765
534	all	100
534	story	59.94361
535	all	100
535	ending	71.2765
536	all	100
536	farcry	56.10805
536	story	59.94361
537	all	100
537	ending	71.2765
537	story	59.94361
538	all	100
538	story	59.94361
539	all	100
539	story	59.94361
540	all	100
540	story	59.94361
541	all	100
541	story	59.94361
542	all	100
542	story	59.94361
543	all	100
543	story	59.94361
544	all	100
545	all	100
545	story	59.94361
546	all	100
546	story	59.94361
546	cry	55.77016
547	all	100
547	story	59.94361
548	all	100
548	ending	71.2765
549	all	100
549	story	59.94361
550	all	100
550	ending	71.2765
551	all	100
551	story	59.94361
552	all	100
552	story	59.94361
553	all	100
553	story	59.94361
554	all	100
554	story	59.94361
555	all	100
555	ending	71.2765
556	all	100
556	characters	59.46443
556	story	59.94361
557	all	100
557	story	59.94361
558	all	100
558	ending	71.2765
559	all	100
559	story	59.94361
560	all	100
561	all	100
562	all	100
562	ending	71.2765
563	all	100
563	missions	62.63234
563	story	59.94361
564	all	100
564	story	59.94361
564	cry	55.77016
565	all	100
565	plot	71.51877
566	all	100
566	plot	71.51877
567	all	100
568	all	100
568	story	59.94361
569	all	100
569	story	59.94361
569	cry	55.77016
570	all	100
570	story	59.94361
571	all	100
571	story	59.94361
572	all	100
572	story	59.94361
573	all	100
574	all	100
574	story	59.94361
575	all	100
575	county	65.05325
575	story	59.94361
576	all	100
576	story	59.94361
577	all	100
577	story	59.94361
578	all	100
578	ending	71.2765
579	all	100
579	story	59.94361
579	cry	55.77016
580	all	100
580	story	59.94361
581	all	100
581	story	59.94361
582	all	100
582	story	59.94361
583	all	100
583	story	59.94361
584	all	100
584	story	59.94361
585	all	100
585	story	59.94361
586	all	100
586	characters	59.46443
587	all	100
587	story	59.94361
588	all	100
588	story	59.94361
589	all	100
589	story	59.94361
590	all	100
590	ending	71.2765
591	all	100
591	cry	55.77016
592	all	100
592	story	59.94361
592	cry	55.77016
593	all	100
594	all	100
594	story	59.94361
595	all	100
595	ending	71.2765
596	all	100
596	story	59.94361
597	all	100
597	story	59.94361
598	all	100
598	ending	71.2765
599	all	100
599	story	59.94361
600	all	100
601	all	100
601	story	59.94361
602	all	100
602	story	59.94361
603	all	100
603	story	59.94361
604	all	100
604	story	59.94361
604	cry	55.77016
605	all	100
605	story	59.94361
606	all	100
606	story	59.94361
607	all	100
607	ending	71.2765
608	all	100
608	story	59.94361
609	all	100
610	all	100
610	story	59.94361
611	all	100
611	story	59.94361
612	all	100
612	story	59.94361
613	all	100
613	ending	71.2765
613	story	59.94361
614	all	100
614	gameplay	65.1876
614	plot	71.51877
615	all	100
615	story	59.94361
616	all	100
616	story	59.94361
617	all	100
617	endings	60.13434
617	ending	71.2765
618	all	100
618	characters	59.46443
618	story	59.94361
619	all	100
619	story	59.94361
620	all	100
620	story	59.94361
621	all	100
621	ending	71.2765
622	all	100
622	ending	71.2765
623	all	100
623	story	59.94361
624	all	100
625	all	100
625	ending	71.2765
626	all	100
626	ending	71.2765
627	all	100
627	ending	71.2765
628	all	100
628	story	59.94361
629	all	100
629	ending	71.2765
630	all	100
631	all	100
631	story	59.94361
632	all	100
632	story	59.94361
633	all	100
633	side missions	4.759573
633	story	59.94361
634	all	100
634	characters	59.46443
634	character	63.6038
634	story	59.94361
635	all	100
635	ending	71.2765
636	all	100
636	ending	71.2765
637	all	100
637	story	59.94361
638	all	100
638	characters	59.46443
639	all	100
639	story	59.94361
640	all	100
641	all	100
641	ending	71.2765
641	story	59.94361
642	all	100
642	ending	71.2765
643	all	100
643	plot	71.51877
644	all	100
644	story	59.94361
645	all	100
645	story	59.94361
646	all	100
647	all	100
647	quests	55.17515
648	all	100
648	story	59.94361
649	all	100
649	villains	54.16332
649	story	59.94361
650	all	100
650	story	59.94361
651	all	100
651	ending	71.2765
652	all	100
652	story	59.94361
653	all	100
653	ending	71.2765
653	story	59.94361
654	all	100
654	story	59.94361
655	all	100
655	ending	71.2765
655	cry	55.77016
656	all	100
656	story	59.94361
657	all	100
657	story	59.94361
658	all	100
658	story	59.94361
659	all	100
659	story	59.94361
660	all	100
660	story	59.94361
661	all	100
661	story	59.94361
662	all	100
663	all	100
663	ending	71.2765
664	all	100
664	story	59.94361
664	plot	71.51877
664	cry	55.77016
665	all	100
666	all	100
666	story	59.94361
667	all	100
667	story	59.94361
668	all	100
669	all	100
670	all	100
670	story	59.94361
671	all	100
671	story	59.94361
672	all	100
672	ending	71.2765
672	story	59.94361
673	all	100
673	story	59.94361
674	all	100
674	story	59.94361
675	all	100
675	endings	60.13434
675	story	59.94361
676	all	100
676	story	59.94361
677	all	100
678	all	100
678	villains	54.16332
678	story	59.94361
679	all	100
679	story	59.94361
680	all	100
680	plot	71.51877
681	all	100
681	ending	71.2765
682	all	100
682	ending	71.2765
682	story	59.94361
683	all	100
683	missions	62.63234
683	story	59.94361
683	cry	55.77016
684	all	100
684	story	59.94361
685	all	100
686	all	100
686	missions	62.63234
686	story	59.94361
687	all	100
688	all	100
688	story	59.94361
688	cry	55.77016
689	all	100
689	story	59.94361
690	all	100
690	game	43.10328
691	all	100
691	story	59.94361
692	all	100
692	missions	62.63234
692	story	59.94361
693	all	100
693	farcry	56.10805
693	story	59.94361
694	all	100
694	ending	71.2765
694	cry	55.77016
695	all	100
695	story	59.94361
696	all	100
697	all	100
697	plot	71.51877
698	all	100
698	story	59.94361
699	all	100
699	ending	71.2765
700	all	100
700	ending	71.2765
701	all	100
701	ending	71.2765
702	all	100
702	quest	57.51136
703	all	100
703	character	63.6038
703	story	59.94361
704	all	100
705	all	100
705	ending	71.2765
706	all	100
706	ending	71.2765
707	all	100
707	story	59.94361
708	all	100
708	farcry	56.10805
708	story	59.94361
709	all	100
709	story	59.94361
710	all	100
710	story	59.94361
711	all	100
711	story	59.94361
712	all	100
712	story	59.94361
713	all	100
713	story	59.94361
714	all	100
714	game	41.14266
715	all	100
715	story	59.94361
716	all	100
716	cry	55.77016
717	all	100
717	story	59.94361
718	all	100
718	spoilers	59.01519
718	ending	71.2765
718	story	59.94361
719	all	100
719	story	59.94361
720	all	100
720	ending	71.2765
721	all	100
721	story	59.94361
721	cry	55.77016
722	all	100
722	story	59.94361
723	all	100
723	story	59.94361
723	plot	71.51877
724	all	100
724	story	59.94361
725	all	100
725	ending	71.2765
726	all	100
726	farcry	56.10805
726	story	59.94361
727	all	100
727	story	59.94361
728	all	100
728	story	59.94361
729	all	100
729	story	59.94361
729	plot	71.51877
729	cry	55.77016
730	all	100
730	story	59.94361
731	all	100
732	all	100
732	story	59.94361
733	all	100
733	story	59.94361
733	quest	57.51136
734	all	100
734	story	59.94361
735	all	100
736	all	100
736	missions	89.61729
736	story	59.94361
737	all	100
737	story	59.94361
738	all	100
738	story	59.94361
739	all	100
739	story	59.94361
740	all	100
741	all	100
741	primal	53.80609
742	all	100
742	story	59.94361
743	all	100
743	outposts	65.8118
743	missions	69.05315
743	story	59.94361
744	all	100
744	story	59.94361
745	all	100
745	story	59.94361
746	all	100
746	villains	54.16332
746	story	59.94361
747	all	100
747	ending	71.2765
748	all	100
748	gameplay	65.1876
748	ending	71.2765
749	all	100
750	all	100
750	story	59.94361
751	all	100
751	endings	60.13434
751	story	59.94361
752	all	100
752	story	59.94361
753	all	100
753	story	59.94361
754	all	100
754	story	59.94361
755	all	100
755	story	59.94361
756	all	100
756	villains	54.16332
756	mission	61.48469
756	story	59.94361
757	all	100
757	story	59.94361
758	all	100
759	all	100
760	all	100
760	story	59.94361
761	all	100
761	plot	71.51877
762	all	100
762	farcry	56.10805
762	ending	71.2765
763	all	100
764	all	100
764	ending	71.2765
765	all	100
765	story	59.94361
766	all	100
767	all	100
767	ending	71.2765
767	story	59.94361
768	all	100
768	story	59.94361
769	all	100
769	story	59.94361
770	all	100
770	story	59.94361
771	all	100
771	ending	71.2765
771	story	59.94361
772	all	100
772	ending	71.2765
773	all	100
773	story	59.94361
774	all	100
774	story	59.94361
775	all	100
775	story	59.94361
776	all	100
777	all	100
777	ending	71.2765
777	story	59.94361
778	all	100
778	story	59.94361
779	all	100
780	all	100
780	story	59.94361
781	all	100
781	ending	71.2765
782	all	100
782	story	59.94361
783	all	100
783	story	59.94361
783	plot	71.51877
784	all	100
784	story	59.94361
785	all	100
785	ending	71.2765
786	all	100
786	story	59.94361
787	all	100
787	ending	71.2765
788	all	100
788	story	59.94361
789	all	100
789	ending	71.2765
789	story	59.94361
790	all	100
790	spoilers	59.01519
790	story	59.94361
790	cry	55.77016
791	all	100
791	story	59.94361
792	all	100
792	ending	71.2765
793	all	100
793	story	59.94361
794	all	100
794	story	59.94361
795	all	100
795	story	59.94361
795	cry	55.77016
796	all	100
796	story	59.94361
797	all	100
798	all	100
798	story	59.94361
799	all	100
799	story	59.94361
800	all	100
800	ending	71.2765
801	all	100
801	story	59.94361
802	all	100
802	story	59.94361
803	all	100
803	story	59.94361
804	all	100
804	story	59.94361
805	all	100
805	story	59.94361
806	all	100
806	quests	55.17515
806	story	59.94361
807	all	100
807	ending	71.2765
808	all	100
808	story	59.94361
809	all	100
809	story	59.94361
810	all	100
810	story	59.94361
811	all	100
811	story	59.94361
812	all	100
812	ending	71.2765
813	all	100
813	story	59.94361
814	all	100
814	quests	55.17515
815	all	100
815	story	59.94361
816	all	100
816	missions	62.63234
816	story	59.94361
817	all	100
817	ending	71.2765
818	all	100
819	all	100
820	all	100
820	story	59.94361
821	all	100
821	quests	55.17515
821	story	59.94361
821	cry	55.77016
822	all	100
822	story	59.94361
823	all	100
823	villains	54.16332
824	all	100
824	story	59.94361
825	all	100
825	progression	59.47549
825	endings	60.13434
825	story	59.94361
825	map	53.80917
826	all	100
827	all	100
827	ending	71.2765
827	story	59.94361
828	all	100
828	ending	71.2765
828	story	59.94361
829	all	100
829	ending	71.2765
830	all	100
830	story	59.94361
831	all	100
831	story	59.94361
832	all	100
832	story	59.94361
833	all	100
833	story	59.94361
834	all	100
835	all	100
835	story	59.94361
836	all	100
836	story	59.94361
837	all	100
837	story	59.94361
838	all	100
838	story	59.94361
839	all	100
839	ending	71.2765
840	all	100
841	all	100
841	story	59.94361
841	co op	5.266573
841	host	52.06739
842	all	100
843	all	100
843	story	59.94361
844	all	100
845	all	100
845	story	59.94361
846	all	100
846	plot	71.51877
847	all	100
847	spoilers	59.01519
848	all	100
848	story	59.94361
849	all	100
849	ending	71.2765
850	all	100
850	story	59.94361
851	all	100
852	all	100
852	ending	71.2765
853	all	100
854	all	100
854	story	59.94361
855	all	100
855	ending	71.2765
856	all	100
857	all	100
857	ending	71.2765
858	all	100
859	all	100
859	story	59.94361
859	cry	55.77016
860	all	100
860	story	59.94361
861	all	100
861	spoilers	59.01519
862	all	100
862	story	59.94361
862	coop	71.82907
863	all	100
863	story	59.94361
864	all	100
864	story	59.94361
865	all	100
865	story	59.94361
866	all	100
866	story	59.94361
867	all	100
867	story	59.94361
868	all	100
868	story	59.94361
869	all	100
869	story	59.94361
870	all	100
870	story	59.94361
871	all	100
871	story	59.94361
872	all	100
872	ending	71.2765
872	cry	55.77016
873	all	100
873	story	59.94361
874	all	100
874	story	59.94361
