Uid	Term	Term_Score
219	nvidia	40.76477
219	google	28.64112
220	all	100
220	shield	36.59625
220	plex	42.18784
221	all	100
221	plex	42.18784
221	apps	31.21547
222	all	100
223	all	100
224	all	100
224	configuration	14.29647
224	android	35.81115
224	device	17.80915
224	easy	15.05709
225	all	100
225	streaming	32.39369
226	all	100
226	device	17.80915
226	tv	18.48458
227	all	100
227	android tv	42.96536
228	all	100
228	apps	31.21547
229	all	100
230	all	100
230	media	21.99581
230	plex	42.18784
231	all	100
231	android tv	42.96536
231	boxes	32.40374
232	all	100
232	android box	43.46378
233	all	100
233	best android	45.0793
234	all	100
234	streaming	32.39369
235	all	100
235	android boxes	45.36487
236	all	100
236	controller	26.62076
236	remote	28.54707
236	nvidia	40.76477
237	all	100
237	android	35.81115
237	games	31.7364
238	all	100
238	kodi	43.55359
239	all	100
239	android	35.81115
239	apps	31.21547
240	all	100
240	shield	36.59625
240	nvidia	40.76477
240	boxes	32.40374
241	all	100
241	plex	42.18784
242	all	100
242	plex	42.18784
243	all	100
243	apps	31.21547
244	all	100
244	assistant	34.81524
244	google	28.64112
245	all	100
245	canada	34.42183
246	all	100
246	android	35.81115
246	boxes	32.40374
247	all	100
247	apps	31.21547
248	all	100
248	streaming	32.39369
249	all	100
249	android boxes	45.36487
249	google	28.64112
250	all	100
250	android tv	42.96536
251	all	100
251	streaming	32.39369
251	android	35.81115
252	all	100
252	android tv	48.42155
252	apps	31.21547
253	all	100
253	android tv	48.42155
253	apps	31.21547
254	all	100
254	apps	31.21547
255	all	100
255	google play	53.70535
255	play store	60.52608
255	android tv	48.42155
255	apps	31.21547
256	all	100
256	android	35.81115
256	games	31.7364
256	apps	31.21547
257	all	100
257	apps	31.21547
258	all	100
258	apps	31.21547
259	all	100
259	kodi	43.55359
260	all	100
260	apps	31.21547
261	all	100
261	best android	45.0793
261	streaming	32.39369
261	nvidia	40.76477
262	all	100
262	android box	43.46378
262	kodi	43.55359
263	all	100
263	kodi	43.55359
264	all	100
264	android	35.81115
265	all	100
265	android boxes	45.36487
265	android box	43.46378
266	all	100
267	all	100
267	kodi	43.55359
268	all	100
268	best android	45.0793
268	streaming	32.39369
269	all	100
269	android tv	42.96536
270	all	100
270	android boxes	45.36487
271	all	100
271	streaming	32.39369
271	nvidia	40.76477
271	4k	32.43502
272	all	100
272	google play	53.70535
273	all	100
273	android box	43.46378
273	shield	36.59625
273	apps	31.21547
274	all	100
274	apps	31.21547
275	all	100
275	plex	42.18784
276	all	100
277	all	100
277	google	28.64112
277	apps	31.21547
278	all	100
278	apps	31.21547
279	all	100
279	android box	43.46378
280	all	100
280	plex	42.18784
280	kodi	43.55359
281	all	100
281	android	35.81115
281	apps	31.21547
282	all	100
282	streaming device	40.73249
282	media player	63.95177
283	all	100
283	android	35.81115
283	plex	42.18784
284	all	100
284	android	35.81115
284	plex	42.18784
285	all	100
285	streaming	32.39369
285	canada	34.42183
286	all	100
286	shield	36.59625
286	plex	42.18784
287	all	100
287	display	9.251071
287	back	7.633883
288	all	100
288	android	35.81115
289	all	100
289	apps	31.21547
290	all	100
290	android	35.81115
291	all	100
291	android box	43.46378
292	all	100
292	android box	43.46378
293	all	100
293	streaming	32.39369
293	apps	31.21547
294	all	100
294	plex	42.18784
295	all	100
295	shield	36.59625
295	nvidia	40.76477
296	all	100
296	chromecast	17.73504
297	all	100
297	streaming	32.39369
298	all	100
298	streaming	32.39369
298	geforce	29.801
298	android	35.81115
298	games	31.7364
299	all	100
299	android	35.81115
300	all	100
300	android	35.81115
301	all	100
301	android box	43.46378
302	all	100
302	google	28.64112
302	boxes	32.40374
303	all	100
303	sideload	38.56382
303	apps	31.21547
304	all	100
305	all	100
305	sideload	38.56382
305	android	35.81115
306	all	100
306	shield	36.59625
306	nvidia	40.76477
307	all	100
307	streaming	32.39369
307	kodi	43.55359
307	apps	31.21547
308	all	100
308	android	35.81115
309	all	100
309	sideload	38.56382
309	apps	31.21547
310	all	100
310	android tv	48.42155
310	sideload	38.56382
310	apps	31.21547
311	all	100
311	shield	36.59625
311	google	28.64112
312	all	100
313	all	100
313	kodi	43.55359
314	all	100
314	apps	31.21547
315	all	100
316	all	100
316	kodi	43.55359
317	all	100
317	play store	60.52608
317	android tv	48.42155
317	google	28.64112
318	all	100
318	apps	31.21547
319	all	100
319	kodi	43.55359
320	all	100
320	canada	34.42183
321	all	100
321	android boxes	45.36487
322	all	100
322	kodi	43.55359
322	apps	31.21547
323	all	100
323	assistant	34.81524
323	keyboard	18.57645
323	google	28.64112
324	all	100
324	android tv	42.96536
325	all	100
325	android boxes	45.36487
325	assistant	34.81524
325	shield	36.59625
325	nvidia	40.76477
325	google	28.64112
326	all	100
326	android box	43.46378
327	all	100
327	kodi	43.55359
328	all	100
328	kodi	43.55359
329	all	100
330	all	100
330	android boxes	45.36487
330	shield	36.59625
331	all	100
331	android boxes	45.36487
331	android tv	42.96536
332	all	100
332	android boxes	45.36487
333	all	100
333	android box	43.46378
334	all	100
334	kodi	43.55359
334	apps	31.21547
335	all	100
335	apps	31.21547
336	all	100
336	android box	43.46378
336	kodi	43.55359
337	all	100
337	streaming	32.39369
337	boxes	32.40374
337	kodi	43.55359
338	all	100
338	kodi	43.55359
339	all	100
339	android	35.81115
340	all	100
340	android	35.81115
341	all	100
341	android tv	42.96536
341	boxes	32.40374
342	all	100
342	apps	31.21547
343	all	100
343	android	35.81115
344	all	100
345	all	100
346	all	100
346	streaming	32.39369
346	canada	34.42183
346	apps	31.21547
347	all	100
347	android box	43.46378
348	all	100
348	android boxes	45.36487
348	play store	60.52608
348	apps	31.21547
349	all	100
349	google play	53.70535
349	play store	60.52608
350	all	100
350	nvidia	40.76477
350	google	28.64112
350	kodi	43.55359
350	apps	31.21547
351	all	100
351	plex	42.18784
352	all	100
352	google play	53.70535
353	all	100
353	android tv	42.96536
354	all	100
